Pres,Type,ID,slope,perm,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,sden.mean,sden.std,avgEVI.lag,sum.days.above.21
0,NA,133,0.055630196,57.55491638,28.38323402,-33.53940582,106,8,577.7645264,97.71113586,0.409864128,18
0,NA,134,0.332021803,6.5080266,26.18279076,-40.65000153,113,8,604.1850586,74.03622437,0.25327006,17
0,NA,135,0.379418075,104,26.18279076,-40.65000153,113,8,604.1850586,74.03622437,0.148125604,17
0,NA,136,0.273600042,51.55470657,26.57536507,-29.9276886,111,8,583.2237549,89.29563141,0.342644751,16
0,NA,137,0.021525854,104,29.96198463,-58.25,113,0,585.5460815,89.27440643,0.318633825,18
0,NA,138,0.0952086,30.14016914,28.84676361,-43.30583191,100,0,577.7645264,97.71113586,0.374184281,16
0,NA,139,0.163241431,94.41130066,26.23452759,-37.23158646,112,7,604.1850586,74.03622437,0.216593131,11
0,NA,140,0.206186295,19.12065125,28.38323402,-33.53940582,106,8,583.6928101,89.24962616,0.34496963,18
0,NA,141,0.169818953,36.47185135,28.27304077,-33.19758224,107,7,583.6928101,89.24962616,0.341700405,17
0,NA,142,0.073249474,41.66180038,29.81509972,-36.22278595,95,0,585.5460815,89.27440643,0.330355406,15
0,NA,143,0.044787247,33.41485596,29.75043106,-43.25,108,0,568.6929932,95.9761734,0.449887216,16
0,NA,144,0.312531471,16.95202065,30.82919884,-35.70321655,101,0,585.5460815,89.27440643,0.335535675,18
0,NA,145,0.193434209,27.05632401,26.86163902,-40.7545929,116,8,581.1414185,92.9009552,0.266931176,14
0,NA,146,0.560419321,61.38533783,27.73044205,-42.32450867,100,0,577.7645264,97.71113586,0.468588591,12
0,NA,147,0.056571972,43.9991684,26.13666153,-40.77660751,120,8,604.1850586,74.03622437,0.271953702,16
0,NA,148,0.213737249,49.38970184,28.14608955,-30.94516373,106,10,568.6929932,95.9761734,0.366814554,17
0,NA,149,0.02954107,104,28.0364399,-31.61019707,121,9,583.6119995,88.20030212,0.276639581,16
